"st_abbrev","geo","state_symbol","data_symbol","start_year","start_month","end_year","end_month","all_percentagechange","opioid_percentagechange","heroin_percentagechange","stimulant_percentagechange","all_issignificant","opioid_issignificant","heroin_issignificant","stimulant_issignificant","all_significance","opioid_significance","heroin_significance","stimulant_significance","sex","age_range","state_count","comparison_type"
"US","US-US","","","2019","1","2020","1","10.28","25.17","16.32","15.13","TRUE","TRUE","TRUE","TRUE","Significant Increase","Significant Increase","Significant Increase","Significant Increase","all","all","37","2Year2YearSameMonthUS"
"US","US-US","","","2019","2","2020","2","12.55","25.69","16.43","18.19","TRUE","TRUE","TRUE","TRUE","Significant Increase","Significant Increase","Significant Increase","Significant Increase","all","all","38","2Year2YearSameMonthUS"
"US","US-US","","*","2019","3","2020","3","suppressed","suppressed","suppressed","suppressed","FALSE","FALSE","FALSE","FALSE","Data Not Available/Not Reported","Data Not Available/Not Reported","Data Not Available/Not Reported","Data Not Available/Not Reported","all","all","38","2Year2YearSameMonthUS"
"US","US-US","","*","2019","4","2020","4","suppressed","suppressed","suppressed","suppressed","FALSE","FALSE","FALSE","FALSE","Data Not Available/Not Reported","Data Not Available/Not Reported","Data Not Available/Not Reported","Data Not Available/Not Reported","all","all","39","2Year2YearSameMonthUS"
"US","US-US","","*","2019","5","2020","5","suppressed","suppressed","suppressed","suppressed","FALSE","FALSE","FALSE","FALSE","Data Not Available/Not Reported","Data Not Available/Not Reported","Data Not Available/Not Reported","Data Not Available/Not Reported","all","all","40","2Year2YearSameMonthUS"
"US","US-US","","*","2019","6","2020","6","suppressed","suppressed","suppressed","suppressed","FALSE","FALSE","FALSE","FALSE","Data Not Available/Not Reported","Data Not Available/Not Reported","Data Not Available/Not Reported","Data Not Available/Not Reported","all","all","40","2Year2YearSameMonthUS"
"US","US-US","","*","2019","7","2020","7","suppressed","suppressed","suppressed","suppressed","FALSE","FALSE","FALSE","FALSE","Data Not Available/Not Reported","Data Not Available/Not Reported","Data Not Available/Not Reported","Data Not Available/Not Reported","all","all","41","2Year2YearSameMonthUS"
"US","US-US","","","2019","8","2020","8","26.25","39.22","18.09","26.9","TRUE","TRUE","TRUE","TRUE","Significant Increase","Significant Increase","Significant Increase","Significant Increase","all","all","41","2Year2YearSameMonthUS"
"US","US-US","","","2019","9","2020","9","28.93","42.84","20.71","28.31","TRUE","TRUE","TRUE","TRUE","Significant Increase","Significant Increase","Significant Increase","Significant Increase","all","all","42","2Year2YearSameMonthUS"
"US","US-US","","","2019","10","2020","10","22.66","28.02","8","20.62","TRUE","TRUE","TRUE","TRUE","Significant Increase","Significant Increase","Significant Increase","Significant Increase","all","all","42","2Year2YearSameMonthUS"
"US","US-US","","","2019","11","2020","11","22.76","29.51","9.19","27.23","TRUE","TRUE","TRUE","TRUE","Significant Increase","Significant Increase","Significant Increase","Significant Increase","all","all","42","2Year2YearSameMonthUS"
"US","US-US","","","2019","12","2020","12","31.17","40.64","19.48","24.42","TRUE","TRUE","TRUE","TRUE","Significant Increase","Significant Increase","Significant Increase","Significant Increase","all","all","42","2Year2YearSameMonthUS"
"US","US-US","","","2020","1","2021","1","31.04","39.63","14.39","40.05","TRUE","TRUE","TRUE","TRUE","Significant Increase","Significant Increase","Significant Increase","Significant Increase","all","all","42","2Year2YearSameMonthUS"
"US","US-US","","","2020","2","2021","2","28.04","28.88","3.36","28.99","TRUE","TRUE","FALSE","TRUE","Significant Increase","Significant Increase","No Significant Change","Significant Increase","all","all","42","2Year2YearSameMonthUS"
"US","US-US","","*","2020","3","2021","3","suppressed","suppressed","suppressed","suppressed","FALSE","FALSE","FALSE","FALSE","Data Not Available/Not Reported","Data Not Available/Not Reported","Data Not Available/Not Reported","Data Not Available/Not Reported","all","all","41","2Year2YearSameMonthUS"
"US","US-US","","*","2020","4","2021","4","suppressed","suppressed","suppressed","suppressed","FALSE","FALSE","FALSE","FALSE","Data Not Available/Not Reported","Data Not Available/Not Reported","Data Not Available/Not Reported","Data Not Available/Not Reported","all","all","41","2Year2YearSameMonthUS"
"US","US-US","","*","2020","5","2021","5","suppressed","suppressed","suppressed","suppressed","FALSE","FALSE","FALSE","FALSE","Data Not Available/Not Reported","Data Not Available/Not Reported","Data Not Available/Not Reported","Data Not Available/Not Reported","all","all","40","2Year2YearSameMonthUS"
"US","US-US","","*","2020","6","2021","6","suppressed","suppressed","suppressed","suppressed","FALSE","FALSE","FALSE","FALSE","Data Not Available/Not Reported","Data Not Available/Not Reported","Data Not Available/Not Reported","Data Not Available/Not Reported","all","all","40","2Year2YearSameMonthUS"
"US","US-US","","*","2020","7","2021","7","suppressed","suppressed","suppressed","suppressed","FALSE","FALSE","FALSE","FALSE","Data Not Available/Not Reported","Data Not Available/Not Reported","Data Not Available/Not Reported","Data Not Available/Not Reported","all","all","41","2Year2YearSameMonthUS"
"US","US-US","","","2020","8","2021","8","-17.97","-21.45","-35.72","-22.85","TRUE","TRUE","TRUE","TRUE","Significant Decrease","Significant Decrease","Significant Decrease","Significant Decrease","all","all","41","2Year2YearSameMonthUS"
"US","US-US","","","2020","9","2021","9","-13.07","-13.93","-30.78","-19.4","TRUE","TRUE","TRUE","TRUE","Significant Decrease","Significant Decrease","Significant Decrease","Significant Decrease","all","all","42","2Year2YearSameMonthUS"
"US","US-US","","","2020","10","2021","10","-6.82","-4.65","-23.17","-12.62","TRUE","TRUE","TRUE","TRUE","Significant Decrease","Significant Decrease","Significant Decrease","Significant Decrease","all","all","42","2Year2YearSameMonthUS"
"US","US-US","","","2020","11","2021","11","-10.44","-9.34","-26.97","-16.46","TRUE","TRUE","TRUE","TRUE","Significant Decrease","Significant Decrease","Significant Decrease","Significant Decrease","all","all","42","2Year2YearSameMonthUS"
"US","US-US","","","2020","12","2021","12","-19.33","-18.4","-34.52","-23.04","TRUE","TRUE","TRUE","TRUE","Significant Decrease","Significant Decrease","Significant Decrease","Significant Decrease","all","all","42","2Year2YearSameMonthUS"
"US","US-US","","","2021","1","2022","1","-19.53","-19.52","-38.72","-31.61","TRUE","TRUE","TRUE","TRUE","Significant Decrease","Significant Decrease","Significant Decrease","Significant Decrease","all","all","42","2Year2YearSameMonthUS"
"US","US-US","","","2021","2","2022","2","-6.86","-5.74","-25.4","-16.31","TRUE","TRUE","TRUE","TRUE","Significant Decrease","Significant Decrease","Significant Decrease","Significant Decrease","all","all","42","2Year2YearSameMonthUS"
"US","US-US","","","2021","3","2022","3","-12.69","-14.95","-35.12","-17.91","TRUE","TRUE","TRUE","TRUE","Significant Decrease","Significant Decrease","Significant Decrease","Significant Decrease","all","all","41","2Year2YearSameMonthUS"
"US","US-US","","","2021","4","2022","4","-12.75","-13.48","-36.76","-19.83","TRUE","TRUE","TRUE","TRUE","Significant Decrease","Significant Decrease","Significant Decrease","Significant Decrease","all","all","41","2Year2YearSameMonthUS"
"US","US-US","","","2021","5","2022","5","-15.7","-17.53","-38.7","-19.75","TRUE","TRUE","TRUE","TRUE","Significant Decrease","Significant Decrease","Significant Decrease","Significant Decrease","all","all","40","2Year2YearSameMonthUS"
"US","US-US","","","2021","6","2022","6","-11.67","-14.29","-37.51","-15.64","TRUE","TRUE","TRUE","TRUE","Significant Decrease","Significant Decrease","Significant Decrease","Significant Decrease","all","all","40","2Year2YearSameMonthUS"
"US","US-US","","","2021","7","2022","7","-4.78","-5.07","-34.1","-9.32","TRUE","TRUE","TRUE","TRUE","Significant Decrease","Significant Decrease","Significant Decrease","Significant Decrease","all","all","41","2Year2YearSameMonthUS"
