"","fips","year","state","county","yrs_potential_life_lost_rate","percent_fair_poor_health","phys_unhealthy_days","mentally_unhealthy_days","preventable_hosp_rate","percent_smokers","low_birthweight","excessive_drinking","mental_health_providers","mental_health_providers_ratio","percent_unemployed","violent_crime_rate","income_ratio","eighty_percentile_income","twenty_percentile_income","labor_force","percent_child_poverty"
"93",41035,2020,"Oregon","Klamath","9169.7733692",17.60503,4.53851,4.73137,"3484","16.193287464","8.5238704957",17.09929,"318","213:1",1897,"217.60451146",4.6173,86976,18837,29499,25
"94",41037,2020,"Oregon","Lake","8550.8119272",17.68777,4.43553,4.80671,"2490","17.449994933","8.2191780822",16.43692,"15","525:1",200,NA,4.66733,77473,16599,3496,22.8
"95",41039,2020,"Oregon","Lane","6307.7082359",15.11288,4.11712,4.75827,"3427","15.360129816","6.8670050761",18.74715,"3266","116:1",8165,"330.47165229",4.67654,96898,20720,181761,22.4
"96",41041,2020,"Oregon","Lincoln","8153.9114322",16.37082,4.37245,4.82755,"3063","15.922154517","7.7811756711",16.64152,"219","226:1",1031,"347.39347672",4.29282,85762,19978,21215,20.3
"97",41043,2020,"Oregon","Linn","6762.362288",14.17094,3.79512,4.38645,"2547","16.574811402","6.1575875486",19.72904,"221","576:1",2771,"112.0927847",4.08371,95763,23450,58551,16.3
"98",41045,2020,"Oregon","Malheur","7734.9198606",20.87213,4.66337,4.80451,"2661","17.474126602","6.7192320878",18.60591,"155","198:1",575,"225.73755405",4.70157,80740,17173,12493,29
"99",41047,2020,"Oregon","Marion","6240.1040369",18.19102,4.18229,4.56711,"3227","15.409631356","6.1284331932",17.26311,"1193","291:1",6960,"232.69465542",4.11168,105037,25546,161676,19.2
"100",41049,2020,"Oregon","Morrow","5718.9179237",18.13802,4.17137,4.45729,"2387","15.520715551","7.1364046974",18.33652,"88","129:1",248,"330.80451658",3.64665,96556,26478,5732,21.1
"101",41051,2020,"Oregon","Multnomah","5835.1220677",14.78115,3.60241,4.60741,"3072","15.962060027","6.5398223131",23.72898,"6745","120:1",16843,"474.4613864",4.96963,126979,25551,456886,14.4
"102",41053,2020,"Oregon","Polk","5753.6132392",14.88418,3.8525,4.44941,"2596","14.344151249","5.618729097",19.10265,"238","358:1",1736,"229.62330392",4.25157,107977,25397,39695,13.5
"103",41055,2020,"Oregon","Sherman",NA,13.55213,3.87265,4.35086,NA,"13.925364098",NA,18.04757,NA,NA,37,"57.87037037",4.34551,89083,20500,898,16.4
"104",41057,2020,"Oregon","Tillamook","6653.5028644",14.1391,3.87219,4.36563,"2595","14.872262936","5.9130434783",17.55209,"73","367:1",525,"97.414616089",4.31254,90684,21028,11857,19.7
"105",41059,2020,"Oregon","Umatilla","7431.6126001",18.04581,4.30313,4.57027,"2870","15.798553279","6.3138737225",19.46305,"297","261:1",1819,"223.27095199",4.44295,93222,20982,36813,21.5
"106",41061,2020,"Oregon","Union","7210.9607558",15.6984,4.14383,4.60823,"3296","16.122620627","7.2120038722",18.14601,"80","331:1",644,"137.35200805",4.52378,93968,20772,11935,17.9
"107",41063,2020,"Oregon","Wallowa",NA,13.45435,3.84313,4.44316,"4086","14.100746461","5.8962264151",16.64332,"18","393:1",203,"0",4.89539,97991,20017,3318,19.9
"108",41065,2020,"Oregon","Wasco","7708.8339407",15.33703,3.98482,4.58149,"2712","15.639424163","6.3581112669",18.52036,"130","204:1",578,"158.69329618",3.88232,92438,23810,13384,19.7
"109",41067,2020,"Oregon","Washington","4108.5117316",12.22205,3.18562,3.55268,"2375","11.294746345","6.3011998345",17.86299,"2335","256:1",11257,"168.55767765",4.06228,143228,35258,322574,10
"110",41069,2020,"Oregon","Wheeler",NA,16.75764,4.40503,4.77571,"815","15.438358629",NA,14.87632,"4","342:1",25,"183.82352941",4.00686,68950,17208,723,35
"111",41071,2020,"Oregon","Yamhill","6050.8901223",13.73665,3.80389,4.30325,"3525","14.717227734","6.3385725329",19.54649,"425","252:1",2051,"127.99672951",4.16759,112825,27072,54524,13.7
"112",41000,2021,"Oregon","state_year","5918.7098563",18.19016,4.65152,4.79063,"2799","15.744216203","6.519062806",19.48763,"23240","181:1",78772,"248.69464455",4.55798,121648,26689,2104073,13.6
"113",41001,2021,"Oregon","Baker","8540.976815",19.15924,4.94882,5.24071,"906","21.068303169","7.0409982175",20.964,"108","149:1",331,"264.39391583",4.50296,95697,21252,7120,22
"114",41003,2021,"Oregon","Benton","3922.85466",16.05017,4.0625,4.81181,"1645","14.684941158","5.3466151657",18.34327,"923","101:1",1415,"128.03222998",5.72902,126892,22149,48151,11.4
"115",41005,2021,"Oregon","Clackamas","5052.8046489",14.65814,4.00591,4.63065,"2460","16.887832922","6.0938669328",21.77568,"1378","303:1",7425,"160.08826767",4.17334,150908,36160,219468,7.2
"116",41007,2021,"Oregon","Clatsop","6879.6510747",17.66961,4.42902,4.8025,"3421","18.214593246","6.4037626628",21.40109,"132","305:1",726,"163.2782811",4.01509,105348,26238,19385,15.5
"117",41009,2021,"Oregon","Columbia","6275.072754",17.71224,4.86664,5.13579,"3141","20.676114983","6.0124787294",23.84025,"203","258:1",1097,"133.21719527",4.26284,117650,27599,24437,11.6
"118",41011,2021,"Oregon","Coos","8149.8488514",21.03315,5.18392,5.41658,"4232","21.768833075","6.2928791105",20.40729,"274","235:1",1273,"170.38311388",4.51792,88750,19644,26147,21.9
"119",41013,2021,"Oregon","Crook","7136.5365442",20.60706,5.05974,5.30642,"2370","20.809988711","7.106918239",20.43735,"114","214:1",510,"345.83479378",3.69677,92752,25090,9593,17.1
"120",41015,2021,"Oregon","Curry","7632.4991926",18.59763,4.70632,5.03267,"2506","19.540421964","5.8919803601",21.48912,"97","236:1",463,"108.04716494",4.791,97928,20440,8895,19.9
"121",41017,2021,"Oregon","Deschutes","4773.1464764",15.0777,4.09716,4.61776,"2203","16.309009338","6.7425569177",22.10819,"928","213:1",3732,"168.56831604",4.03972,119701,29631,96093,11.3
"122",41019,2021,"Oregon","Douglas","9119.7514282",20.64862,5.03663,5.38562,"2334","22.106376895","7.0334354602",21.22252,"326","340:1",2276,"218.73791992",4.1597,91193,21923,46339,17.6
"123",41021,2021,"Oregon","Gilliam",NA,18.73716,4.72918,5.10269,"1642","19.545055531","11.206896552",20.54199,"3","637:1",35,"0",3.98868,90519,22694,947,16.1
"124",41023,2021,"Oregon","Grant","9040.6052842",19.62733,4.94957,5.18064,"891","20.572737562","6.9605568445",20.14572,"28","257:1",221,"69.218522877",4.63211,84675,18280,3185,20.6
"125",41025,2021,"Oregon","Harney","8704.7961797",19.90823,5.09223,5.3729,"2871","21.456408129","6",20.15347,"48","154:1",190,"230.49521548",3.83979,89947,23425,3577,20.1
"126",41027,2021,"Oregon","Hood River","4244.9525537",19.7781,4.58976,4.68676,"1740","17.03932733","5.4968287526",20.30595,"88","266:1",458,"147.02702703",3.94791,125587,31811,14470,12.1
"127",41029,2021,"Oregon","Jackson","6773.3992257",19.36943,4.8191,4.94003,"3066","20.68099834","6.7333710906",20.41631,"1098","201:1",4501,"334.84498178",4.66092,104041,22322,103451,18
"128",41031,2021,"Oregon","Jefferson","8328.5844973",22.94214,5.39446,5.47532,"3025","21.873156723","7.6961271102",21.04387,"59","418:1",512,"222.19199202",4.23265,98972,23383,10125,21.5
"129",41033,2021,"Oregon","Josephine","9217.7854154",21.89948,5.21519,5.55237,"2712","22.910738773","6.6633013629",18.13537,"718","122:1",1782,"222.53309959",4.50653,85935,19069,35786,23.4
"130",41035,2021,"Oregon","Klamath","9786.3995587",20.86532,4.99404,5.42089,"3209","21.637616712","8.166969147",21.51829,"324","211:1",1806,"217.60451146",4.80771,91933,19122,29291,22.9
"131",41037,2021,"Oregon","Lake","8651.6401673",22.04418,5.27348,5.45751,"2848","22.494732309","9.1428571429",21.4842,"15","525:1",195,NA,4.70732,83023,17637,3628,22.7
"132",41039,2021,"Oregon","Lane","6432.9260201",18.40965,4.75608,5.29793,"3282","17.436230522","6.9023431099",20.99661,"3426","112:1",7317,"330.47165229",4.65192,102119,21952,180588,13.7
"133",41041,2021,"Oregon","Lincoln","8456.1685648",19.24296,4.78325,5.19774,"3206","19.659959924","7.4947952811",20.91423,"230","217:1",901,"347.39347672",4.29643,89095,20737,20848,21.5
"134",41043,2021,"Oregon","Linn","6996.2845362",19.20781,5.04961,5.21102,"2481","18.826363904","6.146984681",18.60617,"234","554:1",2529,"112.0927847",3.99289,101627,25452,58720,16.4
"135",41045,2021,"Oregon","Malheur","7256.8148506",26.01073,5.6205,5.28115,"1988","22.055052538","7.125727989",19.85996,"156","196:1",510,"225.73755405",4.56636,81167,17775,12314,24.7
"136",41047,2021,"Oregon","Marion","5880.3116879",20.59585,4.66939,4.91847,"3111","18.240763536","6.2502051669",17.41426,"1242","280:1",6366,"232.69465542",4.06821,110212,27091,161879,14.2
"137",41049,2021,"Oregon","Morrow","6368.7317559",24.83502,5.25708,5.09946,"2575","20.672678406","6.8934646374",19.19991,"101","115:1",235,"330.80451658",3.62848,101583,27996,5712,16.6
"138",41051,2021,"Oregon","Multnomah","5902.8920155",16.62077,4.46608,4.86703,"2744","15.964306067","6.6355350151",23.68663,"7120","114:1",14878,"474.4613864",4.91767,135772,27609,455189,14.3
