"","fips","year","state","county","yrs_potential_life_lost_rate","percent_fair_poor_health","phys_unhealthy_days","mentally_unhealthy_days","preventable_hosp_rate","percent_smokers","low_birthweight","excessive_drinking","mental_health_providers","mental_health_providers_ratio","percent_unemployed","violent_crime_rate","income_ratio","eighty_percentile_income","twenty_percentile_income","labor_force","percent_child_poverty"
"63","06005",2019,"California","Amador","6101.441276",13.06823,3.34869,3.59512,"2752","11.044436976","7.1287128713",19.17072,77,"502:1",724,"237.07073752",4.31245,107311,24884,14783,15.7
"64","06007",2019,"California","Butte","7604.9202654",16.27319,4.01665,4.14786,"4256","14.155617738","5.9823529412",18.93858,1372,"167:1",5916,"327.05730855",5.45864,97333,17831,102982,22.6
"65","06009",2019,"California","Calaveras","7329.345035",12.84324,3.43881,3.68396,"2477","11.743991194","5.6193114365",18.29147,72,"634:1",1001,"327.24573793",4.89462,116859,23875,21184,21.1
"66","06011",2019,"California","Colusa","5676.9476611",19.46638,3.88636,3.87195,"3398","12.3601661","6.600660066",18.41381,37,"589:1",1543,"200.95805585",3.89782,98919,25378,10759,15.4
"67","06013",2019,"California","Contra Costa","4643.0717249",12.14342,3.16378,3.4033,"3260","10.468567361","6.8851543224",16.27891,3702,"310:1",21418,"336.02779077",4.80611,174332,36273,563863,11.2
"68","06015",2019,"California","Del Norte","8953.6731104",17.51145,4.02593,4.077,"2514","15.147064133","5.702364395",19.24144,105,"262:1",629,"609.10920066",5.60262,82930,14802,9780,33.9
"69","06017",2019,"California","El Dorado","5358.6159827",11.29313,3.35666,3.7385,"2627","10.993451213","6.5309814564",22.17481,588,"321:1",3920,"217.58394569",4.97121,148679,29908,89886,9.6
"70","06019",2019,"California","Fresno","6944.910268",24.17111,4.19933,3.89311,"4043","14.181869371","7.566661756",16.0948,3075,"322:1",38070,"541.77921571",5.21517,102087,19575,449595,28.3
"71","06021",2019,"California","Glenn","7566.3069009",20.68696,4.16161,4.08028,"4963","14.003305808","6.1737523105",17.63832,29,"969:1",963,"408.14134579",5.44196,91365,16789,12915,20.8
"72","06023",2019,"California","Humboldt","9087.166241",16.48021,4.15589,4.27922,"2676","15.279777153","5.593518157",20.3881,556,"246:1",2639,"432.13579506",4.72466,88115,18650,63019,24.7
"73","06025",2019,"California","Imperial","6040.0298511",26.69977,4.4396,4.12037,"3749","13.432981116","5.4273324941",16.62235,230,"795:1",14105,"366.25347999",5.84239,96709,16553,73980,28.1
"74","06027",2019,"California","Inyo","7913.3408712",14.15128,3.47309,3.83201,"1710","11.83561833","7.6767676768",18.81342,75,"240:1",381,"600.45306913",4.02431,98825,24557,8682,17.6
"75","06029",2019,"California","Kern","7822.443712",24.04404,4.05754,4.08124,"4824","16.193140526","7.2314619131",19.47817,1545,"578:1",35442,"545.33785309",4.88249,103953,21291,384944,29
"76","06031",2019,"California","Kings","6016.6870133",21.71847,4.15332,3.84059,"5327","14.546450206","6.3703882616",19.16709,295,"509:1",5119,"443.3772393",4.27175,96768,22653,57714,24.5
"77","06033",2019,"California","Lake","11578.018825",18.34352,4.19417,4.37199,"3782","15.400977452","6.5351894818",17.01928,220,"292:1",1706,"535.47314438",5.31132,85098,16022,29714,30.1
"78","06035",2019,"California","Lassen","7294.8005195",15.35417,3.65574,3.74369,"3968","13.856077332","7.7861163227",22.10752,94,"332:1",558,"586.92995433",4.71613,102241,21679,10005,18
"79","06037",2019,"California","Los Angeles","5007.6549713",18.80945,3.65829,3.64023,"4285","10.605748331","7.0976820669",17.26186,31986,"318:1",240293,"488.34611236",5.43321,128414,23635,5123933,20.9
"80","06039",2019,"California","Madera","6643.2037921",22.85717,4.2463,4.22787,"3592","14.269443496","6.2629043359",17.08542,230,"682:1",4949,"620.23550783",4.64094,99344,21406,61443,28.6
"81","06041",2019,"California","Marin","3133.0033055",11.02839,2.98869,3.29568,"2136","9.6697642238","5.8874405387",19.88492,1895,"138:1",4038,"177.85725089",5.7602,225581,39162,141308,8.2
"82","06043",2019,"California","Mariposa","8610.4287028",13.90793,3.60851,3.84782,"2801","12.25506721","6.7647058824",17.84693,48,"366:1",451,"431.42857143",4.82733,97179,20131,7647,21.2
"83","06045",2019,"California","Mendocino","7756.2745672",17.38762,4.12893,4.14723,"2453","14.096005283","6.4520547945",18.69795,506,"174:1",1793,"640.48580677",5.09364,95516,18752,40003,22.8
"84","06047",2019,"California","Merced","7117.5007738",24.60186,4.34929,4.32958,"5246","14.459343049","6.4353398323",17.61846,411,"663:1",10801,"555.33866693",4.60611,93002,20191,116088,33.7
"85","06049",2019,"California","Modoc","10361.559861",16.33431,3.89092,4.0824,"2747","13.446352303","6.6555740433",17.23138,31,"286:1",260,"504.7955578",4.21338,76119,18066,3230,29.7
"86","06051",2019,"California","Mono","3935.1253957",14.20798,3.47855,3.66241,"2276","12.787158606","7.7909270217",21.81323,27,"525:1",380,"262.06203331",2.98777,105250,35227,8568,12.6
"87","06053",2019,"California","Monterey","5235.0215235",22.44786,3.75061,3.49019,"2841","12.365161509","5.9904242289",17.57378,1418,"309:1",15811,"420.63614456",4.21888,124537,29519,220120,16.2
"88","06055",2019,"California","Napa","4547.882526",14.06498,3.36668,3.56857,"2627","10.909260437","5.9226190476",20.07743,702,"201:1",2701,"397.68136308",4.51242,155349,34427,73873,8.6
"89","06057",2019,"California","Nevada","5712.7762684",11.5877,3.20526,3.63907,"2329","11.800871996","6.013048845",19.09389,704,"142:1",1998,"264.19005426",4.58509,119978,26167,48659,14.4
"90","06059",2019,"California","Orange","4158.2953849",15.29273,3.4603,3.34794,"3125","9.9951607636","6.2673207223",16.97841,7737,"412:1",56627,"213.58280579",4.76181,160411,33687,1618828,15.7
"91","06061",2019,"California","Placer","4694.1035749",10.73687,3.05768,3.41009,"2524","9.715204336","5.7162667078",20.88014,1069,"361:1",7004,"161.99867528",4.56087,152187,33368,182169,7.2
"92","06063",2019,"California","Plumas","8153.6813841",13.77934,3.61164,3.91589,"3731","12.320644307","9.2459605027",18.029,53,"354:1",692,"574.82224099",4.66757,97739,20940,7803,22
"93","06065",2019,"California","Riverside","5777.981117",19.16146,3.84515,3.5608,"3715","12.35872909","6.6238469809",19.39338,4540,"534:1",56252,"291.24456001",4.66249,118404,25395,1073843,16.2
"94","06067",2019,"California","Sacramento","6373.7545444",15.44769,3.67345,3.84959,"3428","12.530326634","6.8672597371",18.90207,5460,"280:1",32580,"508.24109624",4.8191,118974,24688,702049,18.2
"95","06069",2019,"California","San Benito","5253.2199296",18.34788,3.54989,3.53864,"3985","10.91542333","6.3337866718",18.98234,60,"1005:1",1765,"298.70306703",3.67132,137201,37371,30317,11.9
"96","06071",2019,"California","San Bernardino","6709.3598218",19.74832,4.06563,3.93134,"4519","13.054387954","7.2480234151",17.81358,4487,"481:1",46582,"441.88442142",4.64963,110638,23795,950765,23
"97","06073",2019,"California","San Diego","4611.3504296",13.06947,3.16352,3.65477,"3183","11.122327095","6.4861398836",21.88116,11268,"296:1",63465,"327.71883112",4.75073,140042,29478,1584655,15.7
"98","06075",2019,"California","San Francisco","4384.419376",11.82612,2.97139,3.23028,"3018","10.155533526","6.9827819633",23.89842,7656,"116:1",16499,"760.46400445",7.14332,206392,28893,568722,12.3
"99","06077",2019,"California","San Joaquin","7218.5943993",20.41224,3.89583,4.00013,"3915","12.227716097","7.2336986573",17.8657,1646,"453:1",22612,"787.32183644",4.88748,114973,23524,324788,21.6
"100","06079",2019,"California","San Luis Obispo","5351.8147503",13.12974,3.52952,3.71045,"2142","11.211894035","5.9236122527",20.51185,1609,"176:1",5089,"408.22505811",4.69069,129402,27587,142066,12.3
"101","06081",2019,"California","San Mateo","3469.7978306",11.52599,2.72621,2.94812,"2254","9.08424947","6.8037949454",16.93583,2705,"285:1",12121,"209.11245996",4.86143,212707,43754,452445,7
"102","06083",2019,"California","Santa Barbara","5014.7669451",17.64525,3.8047,3.46119,"1965","11.187781497","6.3971366638",19.44515,2168,"207:1",9741,"318.05052279",4.79349,139203,29040,216954,17.4
"103","06085",2019,"California","Santa Clara","3641.4113944",11.58074,2.89526,2.90052,"2910","8.1994312065","6.9240881715",15.92345,6325,"306:1",33415,"264.08835127",5.02876,211052,41969,1040558,8.1
"104","06087",2019,"California","Santa Cruz","4699.1485239",16.36197,3.68722,3.8838,"2690","11.555175004","5.6885644769",19.96998,1938,"142:1",8154,"409.52586412",5.51816,153035,27733,143802,13.7
"105","06089",2019,"California","Shasta","9004.6017568",14.93934,3.74169,4.12484,"3291","14.313304766","6.3518365093",18.6641,553,"325:1",4321,"726.13674647",4.76065,95570,20075,74476,22.9
"106","06091",2019,"California","Sierra",NA,13.57903,3.50255,3.8037,"3416","11.555924008","8.6705202312",18.24343,5,"600:1",85,"422.22597534",6.21678,112362,18074,1301,20.2
"107","06093",2019,"California","Siskiyou","9510.9383215",17.31187,4.08893,4.24933,"2861","14.595130417","7.797452625",16.46142,181,"242:1",1301,"343.55545308",4.49757,81343,18086,17963,25.7
"108","06095",2019,"California","Solano","6099.5961161",14.83002,3.36344,3.58692,"3630","11.765097884","6.72111246",18.07655,1576,"283:1",9942,"476.30025821",4.29152,134479,31336,209199,14
