"","fips","year","state","county","combined_ypll_rate","percent_fair_or_poor_health","average_number_of_physically_unhealthy_days","mental_health_provider_rate","average_number_of_mentally_unhealthy_days","smokers","excessive_drinking","unemployed","labor_force","violent_crime_rates","income_ratio","severe_housing_problems"
"73",6069,2014,"California","San Benito",4954.91,18.1,NA,NA,NA,NA,23.8,3695,26611,395.06143,NA,30.93397
"74",6071,2014,"California","San Bernardino",6760.31,19.4,NA,NA,NA,16.2,17.3,102953,860895,451.22299,NA,28.4286
"75",6073,2014,"California","San Diego",5143.2,16,NA,NA,NA,12.1,17.2,142810,1599133,383.45552,NA,26.48028
"76",6075,2014,"California","San Francisco",5244.13,16.4,NA,NA,NA,9.5,20.6,34859,477632,712.14817,NA,25.938
"77",6077,2014,"California","San Joaquin",7087.94,22,NA,NA,NA,16.4,17.5,45264,298468,812.48557,NA,28.59491
"78",6079,2014,"California","San Luis Obispo",5229.32,11.6,NA,NA,NA,9.1,17.5,11531,143069,258.52285,NA,25.08908
"79",6081,2014,"California","San Mateo",4134.59,12,NA,NA,NA,10.5,20.6,26525,394322,252.54458,NA,24.77909
"80",6083,2014,"California","Santa Barbara",5244.52,21,NA,NA,NA,10.5,18,18289,229464,429.06474,NA,28.77041
"81",6085,2014,"California","Santa Clara",3987.94,13.5,NA,NA,NA,10.3,14.9,76633,910983,266.35199,NA,24.23481
"82",6087,2014,"California","Santa Cruz",5108.59,16.8,NA,NA,NA,10.1,20.5,16848,151139,474.08802,NA,27.46269
"83",6089,2014,"California","Shasta",8357.93,15.8,NA,NA,NA,25.1,19.6,10896,81245,750.68629,NA,22.88712
"84",6091,2014,"California","Sierra",7607.19,NA,NA,NA,NA,NA,NA,214,1497,379.95482,NA,17.07317
"85",6093,2014,"California","Siskiyou",8516.27,19.5,NA,NA,NA,23.8,19.5,2979,19489,353.24675,NA,23.73725
"86",6095,2014,"California","Solano",6388.89,17.4,NA,NA,NA,13.5,18.3,21995,217024,467.93737,NA,23.66736
"87",6097,2014,"California","Sonoma",5232.86,14.4,NA,NA,NA,14,21.7,22005,256878,381.78944,NA,25.0034
"88",6099,2014,"California","Stanislaus",6810.27,22.3,NA,NA,NA,17.1,17,36324,239461,507.81842,NA,27.33154
"89",6101,2014,"California","Sutter",6861.57,19,NA,NA,NA,18.7,10.8,7544,42810,358.38256,NA,24.04781
"90",6103,2014,"California","Tehama",7901.57,24.3,NA,NA,NA,21.1,17.7,3517,25251,582.15566,NA,22.88388
"91",6105,2014,"California","Trinity",8555.3,16.7,NA,NA,NA,23.4,NA,792,5019,213.49781,NA,15.44992
"92",6107,2014,"California","Tulare",7367.24,24.8,NA,NA,NA,14.5,19.2,32860,207634,470.00306,NA,27.56089
"93",6109,2014,"California","Tuolumne",6682.26,13.2,NA,NA,NA,19.1,26.5,3015,25918,230.61625,NA,22.48761
"94",6111,2014,"California","Ventura",5058.25,16.3,NA,NA,NA,12.1,17.7,39865,440649,222.88174,NA,24.88791
"95",6113,2014,"California","Yolo",4890.75,16.7,NA,NA,NA,8.1,19,11276,98475,270.85384,NA,24.68833
"96",6115,2014,"California","Yuba",7939.85,22.3,NA,NA,NA,17.2,19.4,4701,27772,396.27592,NA,23.62105
"97",53000,2014,"Washington","state_year",5708.78,13.7,NA,NA,NA,15.5,16.9,284170,3481462,312.86469,NA,17.68253
"98",53001,2014,"Washington","Adams",7210.12,23.3,NA,NA,NA,10.1,11.8,754,8581,311.4024,NA,23.21429
"99",53003,2014,"Washington","Asotin",6213.73,19.5,NA,NA,NA,21.7,15.6,887,10084,191.62962,NA,9.80501
"100",53005,2014,"Washington","Benton",5499.97,12.9,NA,NA,NA,15.3,13.4,8220,94895,235.60255,NA,13.20922
"101",53007,2014,"Washington","Chelan",5029.03,16.2,NA,NA,NA,13.2,14.5,3153,40751,177.97665,NA,15.40769
"102",53009,2014,"Washington","Clallam",7934.22,15.2,NA,NA,NA,18.9,13.8,2818,28607,276.18303,NA,16.95982
"103",53011,2014,"Washington","Clark",5520.4,13.7,NA,NA,NA,15.3,16,22021,211442,230.47848,NA,16.27322
"104",53013,2014,"Washington","Columbia",6880.35,16.9,NA,NA,NA,14.8,14.8,155,1514,106.34817,NA,14.73988
"105",53015,2014,"Washington","Cowlitz",7426.13,18.1,NA,NA,NA,23.2,18.6,4687,43067,280.36205,NA,17.38083
"106",53017,2014,"Washington","Douglas",5628.3,14.8,NA,NA,NA,15.1,14.1,1643,21879,158.42881,NA,15.7971
"107",53019,2014,"Washington","Ferry",10147.63,19.4,NA,NA,NA,24.2,17.9,365,2818,88.39779,NA,12.01479
"108",53021,2014,"Washington","Franklin",5679.81,24.3,NA,NA,NA,11.7,14.4,3533,37587,293.21377,NA,20.56489
"109",53023,2014,"Washington","Garfield",NA,19,NA,NA,NA,16.9,10.5,79,1015,151.35462,NA,10.49724
"110",53025,2014,"Washington","Grant",6636.96,19.2,NA,NA,NA,16.1,13.9,3993,42369,306.26892,NA,18.70858
"111",53027,2014,"Washington","Grays Harbor",8327.36,18.6,NA,NA,NA,22.8,21.5,3633,29101,196.36407,NA,16.70805
"112",53029,2014,"Washington","Island",4548.56,13.2,NA,NA,NA,15,16,2583,31479,124.32811,NA,14.95072
