"","X","fips","year","state","county","combined_overdose_mortality_rate","combined_overdose_deaths","child_mortality_rate","infant_mortality_rate","age_adjusted_mortality","combined_household_income"
"135",135,53075,2014,"Washington","Whitman",4.2803708777,13,NA,NA,NA,32276
"136",136,53077,2014,"Washington","Yakima",8.6117020205,141,NA,NA,NA,43428
"137",137,41000,2015,"Oregon","year_state_total",13.039583811,3465,NA,NA,NA,50228
"138",138,41001,2015,"Oregon","Baker",22.186723465,25,NA,NA,NA,42200
"139",139,41003,2015,"Oregon","Benton",6.0692706085,36,NA,NA,NA,50714
"140",140,41005,2015,"Oregon","Clackamas",11.04925905,289,NA,NA,NA,66514
"141",141,41007,2015,"Oregon","Clatsop",20.486179559,53,NA,NA,NA,43048
"142",142,41009,2015,"Oregon","Columbia",11.346312739,39,NA,NA,NA,55222
"143",143,41011,2015,"Oregon","Coos",14.934255335,66,NA,NA,NA,37583
"144",144,41013,2015,"Oregon","Crook",7.369789224,11,NA,NA,NA,43343
"145",145,41015,2015,"Oregon","Curry",13.396530936,21,NA,NA,NA,37175
"146",146,41017,2015,"Oregon","Deschutes",10.408154881,114,NA,NA,NA,49427
"147",147,41019,2015,"Oregon","Douglas",12.654349766,95,NA,NA,NA,40243
"148",148,41021,2015,"Oregon","Gilliam",NA,NA,NA,NA,NA,50027
"149",149,41023,2015,"Oregon","Grant",NA,NA,NA,NA,NA,40569
"150",150,41025,2015,"Oregon","Harney",NA,NA,NA,NA,NA,37041
"151",151,41027,2015,"Oregon","Hood River",NA,NA,NA,NA,NA,50891
"152",152,41029,2015,"Oregon","Jackson",16.408364588,232,NA,NA,NA,43393
"153",153,41031,2015,"Oregon","Jefferson",NA,NA,NA,NA,NA,41107
"154",154,41033,2015,"Oregon","Josephine",16.47357898,95,NA,NA,NA,37619
"155",155,41035,2015,"Oregon","Klamath",13.983185757,65,NA,NA,NA,37542
"156",156,41037,2015,"Oregon","Lake",18.144868631,10,NA,NA,NA,37856
"157",157,41039,2015,"Oregon","Lane",15.183331567,371,NA,NA,NA,43778
"158",158,41041,2015,"Oregon","Lincoln",20.227229585,65,NA,NA,NA,39801
"159",159,41043,2015,"Oregon","Linn",12.997977267,105,NA,NA,NA,44941
"160",160,41045,2015,"Oregon","Malheur",7.3285575567,16,NA,NA,NA,34565
"161",161,41047,2015,"Oregon","Marion",11.839653606,259,NA,NA,NA,46919
"162",162,41049,2015,"Oregon","Morrow",NA,NA,NA,NA,NA,51289
"163",163,41051,2015,"Oregon","Multnomah",18.756551219,950,NA,NA,NA,53624
"164",164,41053,2015,"Oregon","Polk",9.0237632165,47,NA,NA,NA,51224
"165",165,41055,2015,"Oregon","Sherman",NA,NA,NA,NA,NA,52679
"166",166,41057,2015,"Oregon","Tillamook",11.886366338,21,NA,NA,NA,41584
"167",167,41059,2015,"Oregon","Umatilla",8.9120813692,47,NA,NA,NA,47053
"168",168,41061,2015,"Oregon","Union",11.773412271,21,NA,NA,NA,41331
"169",169,41063,2015,"Oregon","Wallowa",NA,NA,NA,NA,NA,42751
"170",170,41065,2015,"Oregon","Wasco",9.1879041242,16,NA,NA,NA,42461
"171",171,41067,2015,"Oregon","Washington",8.1757814821,300,NA,NA,NA,63632
"172",172,41069,2015,"Oregon","Wheeler",NA,NA,NA,NA,NA,33065
"173",173,41071,2015,"Oregon","Yamhill",10.077332574,69,NA,NA,NA,57427
"174",174,6000,2015,"California","year_state_total",10.64196515,27544,NA,NA,NA,60185
"175",175,6001,2015,"California","Alameda",10.476742396,1097,NA,NA,NA,72128
"176",176,6003,2015,"California","Alpine",NA,NA,NA,NA,NA,49392
"177",177,6005,2015,"California","Amador",25.874288457,69,NA,NA,NA,52357
"178",178,6007,2015,"California","Butte",32.640371514,501,NA,NA,NA,42395
"179",179,6009,2015,"California","Calaveras",18.446146631,59,NA,NA,NA,52598
"180",180,6011,2015,"California","Colusa",NA,NA,NA,NA,NA,48897
"181",181,6013,2015,"California","Contra Costa",9.964301925,724,NA,NA,NA,78909
"182",182,6015,2015,"California","Del Norte",11.541549578,23,NA,NA,NA,38663
"183",183,6017,2015,"California","El Dorado",20.053651475,252,NA,NA,NA,63002
