"","X.1","fips","year","state","county","combined_overdose_mortality_rate","combined_overdose_deaths","child_mortality_rate","infant_mortality_rate","age_adjusted_mortality","combined_household_income","combined_ypll_rate","percent_fair_or_poor_health","average_number_of_physically_unhealthy_days","mental_health_provider_rate","average_number_of_mentally_unhealthy_days","smokers","excessive_drinking","unemployed","labor_force","violent_crime_rates","income_ratio","severe_housing_problems"
"79",351,6081,2016,"California","San Mateo",8.0614092323,181,26.877418773,3.4802784223,200.6,100806,3676.1,11.6,NA,293.8381,NA,9.3,17.8,18117,430778,235.48846,4.661409362,24.95823
"80",352,6083,2016,"California","Santa Barbara",11.54775033,151,31.983951732,4.6869052151,245.6,62116,4806.6,16.8,NA,420.7249,NA,12.4,18.2,13300,218721,400.51137,4.9460095709,29.05944
"81",353,6085,2016,"California","Santa Clara",7.6508495482,428,27.888059753,3.4778901548,198.8,97219,3721.1,11.4,NA,266.9158,NA,9,15.9,51736,995256,262.14401,5.0040172634,24.15647
"82",354,6087,2016,"California","Santa Cruz",19.306954588,156,37.210653138,3.9974484372,250.9,64257,5148.6,14.3,NA,557.75485,NA,13.1,19.5,12469,142626,443.36885,5.2619394963,27.04962
"83",355,6089,2016,"California","Shasta",26.424995813,142,57.470530389,5.7559734957,429.2,43661,8959.7,14.5,NA,240.26162,NA,14.1,18,7293,75458,756.97077,4.6210036105,22.43757
"84",356,6091,2016,"California","Sierra",NA,NA,NA,NA,319,47293,NA,13.1,NA,166.50017,NA,12.5,16.6,145,1448,424.43064,5.6605975724,16.41791
"85",357,6093,2016,"California","Siskiyou",13.679786595,18,52.408010151,NA,407.8,38641,9151.9,16.5,NA,320.89484,NA,15.2,16.2,2028,18001,293.53484,4.670838782,24.58514
"86",358,6095,2016,"California","Solano",11.905918181,152,44.285317541,5.8794062591,305,67106,6195.5,15.5,NA,290.86287,NA,12.4,17.8,15186,203706,445.64974,4.2938238435,23.38287
"87",359,6097,2016,"California","Sonoma",11.969235031,178,32.263574424,4.1008975549,250.5,66949,4736.8,13.3,NA,366.7858,NA,11.6,17.5,14351,257295,366.28138,4.4952802788,25.03794
"88",360,6099,2016,"California","Stanislaus",13.614367654,215,54.925217861,6.2956874541,359.1,50917,7103.8,20.2,NA,159.21142,NA,14.5,18.3,27085,241446,515.3746,4.7662350307,27.60843
"89",361,6101,2016,"California","Sutter",12.228398534,35,36.003074857,4.8387096774,340.1,51827,6480.7,16.7,NA,235.79246,NA,13.4,17.3,5653,44455,356.16142,4.7473090959,24.8617
"90",362,6103,2016,"California","Tehama",14.245765842,27,46.242405881,6.4196625092,369.9,40782,7547.7,17.3,NA,145.87661,NA,15.2,17.6,2443,25250,558.21081,4.2385400715,20.97665
"91",363,6105,2016,"California","Trinity",NA,NA,NA,NA,451,34961,10280.4,15.2,NA,356.87168,NA,14.9,16.3,501,5045,214.02462,4.7605042017,17.81411
"92",364,6107,2016,"California","Tulare",7.4762628654,102,45.939849884,5.1894135963,353.9,42360,6949.5,25.6,NA,207.33395,NA,15.4,16.8,26272,198631,452.72622,4.7438362116,28.71264
"93",365,6109,2016,"California","Tuolumne",26.590317414,43,32.179346223,NA,319,49476,6589.3,13.4,NA,130.0366,NA,13.3,18.8,1888,21638,198.98828,4.3291453686,21.28478
"94",366,6111,2016,"California","Ventura",14.275636366,360,38.235069205,5.1527191458,233.3,74967,4776.5,14.7,NA,280.79198,NA,11.2,18.5,28827,431547,205.02452,4.4268266748,25.28859
"95",367,6113,2016,"California","Yolo",11.682603144,72,31.184047132,3.8196225985,283.3,54509,5087.6,16.2,NA,317.45267,NA,12.4,17.8,7814,101799,269.24918,5.7854135411,24.59695
"96",368,6115,2016,"California","Yuba",9.9894656544,22,49.243334134,5.1569506726,416.5,41403,7894.4,17.9,NA,135.19725,NA,15,18.8,3158,28165,401.08237,4.1138984722,24.36296
"97",369,53000,2016,"Washington","year_state_total",14.013412742,2933,41.346981568,4.8940249746,284.8,61358,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98",370,53001,2016,"Washington","Adams",NA,NA,41.418781535,6.798096533,289.3,47423,5611,24.7,NA,135.56494,NA,15.8,18.2,664,8547,279.12366,3.8067675868,20.71678
"99",371,53003,2016,"Washington","Asotin",NA,NA,NA,NA,348.2,44055,6838.9,14.1,NA,211.81667,NA,14,17.8,582,9735,191.68454,4.4206980692,12.27197
"100",372,53005,2016,"Washington","Benton",11.204076838,62,41.732141477,5.0034506556,278.2,58750,5262.3,13.7,NA,149.60909,NA,13.8,20.6,6892,89990,226.12183,4.4841696418,12.78998
"101",373,53007,2016,"Washington","Chelan",13.048838653,29,38.498556304,4.577313689,284,49174,5684.7,15.5,NA,182.33496,NA,14,18.9,2603,40960,162.09516,4.3832300104,16.41405
"102",374,53009,2016,"Washington","Clallam",21.208907741,46,50.628967559,6.1135371179,329.9,47185,7089.7,14.2,NA,222.7876,NA,13.8,17.7,2316,26939,268.39747,4.1772169946,16.09717
"103",375,53011,2016,"Washington","Clark",13.80229118,184,41.580501399,4.7352561343,282.2,61747,5495,12.9,NA,228.1556,NA,14.2,19.1,16404,208909,222.7684,3.8763338483,17.29865
"104",376,53013,2016,"Washington","Columbia",NA,NA,NA,NA,314.4,45465,7285.4,15.6,NA,175.65872,NA,15.2,16.9,136,1764,146.22258,4.3234080517,12.2449
"105",377,53015,2016,"Washington","Cowlitz",23.20344849,71,37.230081906,6.1686855092,377,44235,7391.1,15.6,NA,179.17813,NA,17,19.4,3697,44048,309.44468,4.6027113733,18.65944
"106",378,53017,2016,"Washington","Douglas",12.644889357,15,35.867148083,5.790997631,244.3,51151,4893.7,17.6,NA,32.66003,NA,14.4,18.9,1388,19278,118.64212,3.543856974,16.64888
"107",379,53019,2016,"Washington","Ferry",NA,NA,NA,NA,410.6,39992,9429.6,18.7,NA,234.7724,NA,18.7,16.8,289,2470,108.77132,5.4011703511,16
"108",380,53021,2016,"Washington","Franklin",5.7627587479,15,41.354309647,4.762729477,280.6,55006,5063.6,21.7,NA,102.49519,NA,15.3,19.4,3237,38238,277.47338,4.1069399001,21.55833
"109",381,53023,2016,"Washington","Garfield",NA,NA,NA,NA,254.1,46404,NA,13.6,NA,45.14673,NA,14.2,17.1,65,959,204.31991,3.3543472239,10.5
"110",382,53025,2016,"Washington","Grant",7.2267911602,20,41.278928902,6.3381539011,329.9,50388,6358,19.6,NA,150.30006,NA,16.4,19.2,3417,44650,299.35568,4.0749140565,17.02977
"111",383,53027,2016,"Washington","Grays Harbor",22.004981553,47,57.045995371,4.7090480996,419,43205,8375.4,16.3,NA,124.26219,NA,17.5,18.3,2840,27411,185.00589,4.3989704659,17.03996
"112",384,53029,2016,"Washington","Island",15.595166341,37,41.358466555,3.5362853629,229.2,59358,4814.8,12.9,NA,262.3778,NA,14,20.3,2176,31678,131.93887,3.9100492431,16.01386
